Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
The House Of Vadapav,0,0,,,Banashankari,Yes,Quick Bites,Dine-out
Lassi Spot,3.3,4,,,Kumaraswamy Layout,Yes,Beverage Shop,Delivery
Hotel Andhra Speices,0,0,Andhra,,Banashankari,No,Quick Bites,Delivery
Raams Chicken,3.6,22,Andhra,,Banashankari,No,Quick Bites,Dine-out
Bangalore Kabab Palace,0,0,"Andhra, Biryani",,Banashankari,No,Quick Bites,Dine-out
Kholi Mane,3.6,46,"Andhra, South Indian, Biryani, North Indian",,Basavanagudi,No,Quick Bites,Dine-out
Cake Bite,0,0,Bakery,,Banashankari,No,Bakery,Delivery
Cake of the Day,3.7,78,Bakery,,Banashankari,No,"Bakery, Dessert Parlor",Desserts
Cake Art,3.5,15,Bakery,,Basavanagudi,No,"Bakery, Quick Bites",Delivery
Cutcakes,0,0,Bakery,,Kumaraswamy Layout,Yes,"Takeaway, Delivery",Delivery
Floured-Baked With Love,3.8,45,Bakery,"Cup Cake, Chocolate Cake",Banashankari,No,"Takeaway, Delivery",Delivery
Cakes & Slices,3.5,13,"Bakery, Desserts",,Banashankari,No,Bakery,Delivery
Cocoa Bakes,3.6,14,"Bakery, Desserts",,Banashankari,Yes,Bakery,Desserts
Jain Bakes,3.6,8,"Bakery, Desserts",,Basavanagudi,No,Bakery,Desserts
Sugar Stars Co,0,0,"Bakery, Desserts",,Basavanagudi,No,Bakery,Delivery
Srinivasa Brahmins Bakery,3.6,16,"Bakery, Street Food",,Basavanagudi,No,"Bakery, Quick Bites",Desserts
Calcutta Cafe,3.5,45,"Bengali, Chinese, Sandwich",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
South Cool Point,0,0,Beverages,,Basavanagudi,Yes,Dessert Parlor,Delivery
AM WOW,3.4,6,Beverages,,Jayanagar,Yes,Beverage Shop,Delivery
Swathi Cool Point,0,0,"Beverages, Juices",,Banashankari,No,Beverage Shop,Delivery
Corner Stone,3.6,42,"Beverages, Juices, Desserts, Italian",,Banashankari,No,"Beverage Shop, Quick Bites",Desserts
Dtink Lab,0,0,"Beverages, Sandwich",,Banashankari,No,Quick Bites,Dine-out
Naveen Kabab & Biriyani Mane,3.2,9,Biryani,,Banashankari,No,Quick Bites,Delivery
New Quality Dum Biryani,3.1,9,Biryani,,Banashankari,No,Quick Bites,Dine-out
Sri Murari Family Restaurant,0,0,Biryani,,Banashankari,No,Quick Bites,Delivery
New Gowda's Fried Chicken,3.3,12,Biryani,,Banashankari,Yes,Quick Bites,Dine-out
Donne Biriyani combos,0,0,Biryani,,Kumaraswamy Layout,Yes,Casual Dining,Delivery
Godumana Moddha Hotel,0,0,Biryani,,Mysore Road,No,Quick Bites,Dine-out
New Ambur Hot Dum Biryani,3.2,8,Biryani,,Mysore Road,No,Quick Bites,Dine-out
The Biryani Cafe,4.1,520,"Biryani, Chinese, Kebab","Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",Banashankari,No,Quick Bites,Delivery
Thanishka Nati And Karavali Style,0,0,"Biryani, Fast Food",,Banashankari,No,Quick Bites,Delivery
Mylari Biryani Family Restaurant,3.7,73,"Biryani, Fast Food",,Banashankari,Yes,Quick Bites,Delivery
Quality Dum Biriyani,0,0,"Biryani, Kebab",,Banashankari,No,Quick Bites,Dine-out
Spice 9,3.4,8,"Biryani, North Indian, Chinese, Fast Food",,Banashankari,No,Quick Bites,Delivery
The Spice Saga,3.7,124,"Biryani, North Indian, Chinese, Seafood","Biryani, Chicken Grill, Butter Chicken",Kumaraswamy Layout,Yes,Casual Dining,Delivery
New Prashanth Hotel,3.9,388,"Biryani, North Indian, Seafood, Andhra","Chicken Biryani, Ragi Mudde, Mutton Chops",Banashankari,Yes,Casual Dining,Dine-out
Roll Magic Fast Food,0,0,"Biryani, Rolls, Chinese",,Banashankari,No,"Takeaway, Delivery",Delivery
Devanna Dum Biriyani Centre,3.6,28,"Biryani, South Indian",,Banashankari,Yes,Quick Bites,Dine-out
Hide Out Cafe,3.7,31,Cafe,,Banashankari,No,Cafe,Dine-out
Cafe Down The Alley,4.1,402,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Banashankari,Yes,Cafe,Delivery
CAFE NOVA,3.2,11,"Cafe, Bakery",,Banashankari,No,Cafe,Delivery
Caf-Eleven,4,424,"Cafe, Continental","Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",Banashankari,No,Cafe,Dine-out
1980s Games Cafe,3.4,58,"Cafe, Fast Food","Maggi, Pasta, Burgers, Sandwiches, Fries",Basavanagudi,Yes,Cafe,Delivery
Catch-up-ino,3.9,133,"Cafe, Fast Food, Continental, Chinese, Momos","Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",Banashankari,Yes,Cafe,Dine-out
The Vintage Cafe,3,62,"Cafe, French, North Indian","Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",Banashankari,Yes,Cafe,Dine-out
T3H Cafe,3.9,93,"Cafe, Italian, American","Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",Banashankari,No,Cafe,Dine-out
Woodee Pizza,3.7,180,"Cafe, Pizza, Fast Food, Beverages","Pizza, Garlic Bread",Banashankari,Yes,Cafe,Delivery
LSD Cafe,2.9,84,"Chinese, Continental, Italian, North Indian",,Banashankari,No,Delivery,Delivery
Happy Chopsticks,3.6,17,"Chinese, Fast Food",,Basavanagudi,Yes,Quick Bites,Dine-out
Mystique Palate,4.1,337,"Chinese, Fast Food","Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",Jayanagar,Yes,Quick Bites,Delivery
Kings Court Daba,0,0,"Chinese, North Indian",,Banashankari,No,Quick Bites,Dine-out
Spice Elephant,4.1,787,"Chinese, North Indian, Thai","Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",Banashankari,Yes,Casual Dining,Buffet
Belly Squad Food Truck,3.8,55,"Chinese, Rolls, Biryani, Momos","Biryani, Momos, Rolls",South Bangalore,No,Food Truck,Dine-out
Crunch and Munch,3.7,23,"Chinese, Street Food, Ice Cream",,Uttarahalli,Yes,Quick Bites,Delivery
Ferment,0,0,Continental,,Banashankari,No,"Casual Dining, Bar",Dine-out
Twiststick House,4.1,163,"Continental, Fast Food, Street Food, Momos","White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",Basavanagudi,Yes,Quick Bites,Delivery
Gustoes Beer House,4.1,868,"Continental, Italian, Mexican, North Indian, Chinese, Steak","Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",Banashankari,No,Pub,Delivery
Dessert Rose,3.5,7,Desserts,,Banashankari,No,Dessert Parlor,Delivery
Cake Yard,3.4,30,Desserts,,Basavanagudi,No,Dessert Parlor,Delivery
Ifruit Ice Cream,3.3,4,"Desserts, Ice Cream",,Kumaraswamy Layout,Yes,Dessert Parlor,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,3.3,13,"Desserts, Mithai",,Basavanagudi,Yes,"Dessert Parlor, Sweet Shop",Desserts
Stop 'N' Joy,3.8,28,Fast Food,,Banashankari,Yes,Quick Bites,Dine-out
Navi Food Point,3.6,22,Fast Food,,Basavanagudi,Yes,Quick Bites,Delivery
Bendakaluru Bytes,3.2,154,Fast Food,,Vijay Nagar,Yes,Quick Bites,Delivery
Kaggis,3.8,64,"Fast Food, Bakery",,Banashankari,No,Quick Bites,Dine-out
Messy Bowl,3.8,70,"Fast Food, Beverages","Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi",Banashankari,No,Quick Bites,Dine-out
Cafe Zone,3.9,149,"Fast Food, Chinese, Rolls",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Waffle-A-Go Go,3.9,70,"Fast Food, Desserts, Ice Cream",Waffles,Banashankari,Yes,Dessert Parlor,Desserts
Linnet Bar & Restaurant,0,0,"Fast Food, Finger Food",,Banashankari,No,Bar,Dine-out
Snacks Bite,3,9,"Fast Food, Momos",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Kolkata Kathi Roll's,3.6,18,"Fast Food, Rolls",,Banashankari,Yes,Quick Bites,Dine-out
Rolls Corner,3.6,22,"Fast Food, Rolls",,Basavanagudi,No,Quick Bites,Dine-out
C Corner,3.2,36,"Fast Food, Street Food",,Kumaraswamy Layout,Yes,Quick Bites,Delivery
Shree Cool Point,4.1,28,"Fast Food, Street Food, Beverages",,Vijay Nagar,Yes,Quick Bites,Delivery
FreshMenu,3.9,627,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",Banashankari,Yes,Delivery,Delivery
Swaada Healthy Kitchen,0,0,"Healthy Food, Juices, Sandwich",,Banashankari,No,"Quick Bites, Beverage Shop",Delivery
Gopi Ice Creams,0,0,Ice Cream,,Banashankari,No,Dessert Parlor,Desserts
'@Italy,4.1,305,Italian,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Kumaraswamy Layout,Yes,Casual Dining,Delivery
Zephyr,3.9,133,"Italian, Continental","Chilli Paneer Pizza, Mocktails, French Fries, White Sauce Pasta, Nachos, Manchurian",Basavanagudi,No,Casual Dining,Dine-out
My Tea House,3.6,62,"Italian, Fast Food, Cafe, European","Pasta, Iced Tea",Banashankari,Yes,"Quick Bites, Cafe",Delivery
Vegetalia,3.7,27,"Italian, Pizza",,Banashankari,Yes,"Takeaway, Delivery",Delivery
In Time Cane Juice,3.5,10,"Juices, Beverages",,Kumaraswamy Layout,Yes,Beverage Shop,Delivery
The Lassi and Juice Park,3.8,28,"Juices, Desserts",,Banashankari,No,"Beverage Shop, Dessert Parlor",Desserts
The Lassi Park,4.1,185,"Juices, Desserts","Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",Jayanagar,Yes,Quick Bites,Delivery
Sri Ganesh Juice and Chats,3.5,18,"Juices, Street Food",,Banashankari,No,"Beverage Shop, Quick Bites",Dine-out
Sri Lakshmi Kabab Center,3.3,4,Kebab,,Banashankari,No,Quick Bites,Dine-out
